,time,volume,open,high,low,close
1970-01-01 00:00:00.000000000,2019-03-01T04:19:00.000000000Z,6,111.674,111.676,111.674,111.676
1970-01-01 00:00:00.000000001,2019-03-01T04:21:00.000000000Z,6,111.674,111.674,111.672,111.672
1970-01-01 00:00:00.000000002,2019-03-01T04:22:00.000000000Z,2,111.674,111.676,111.674,111.676
1970-01-01 00:00:00.000000003,2019-03-01T04:23:00.000000000Z,4,111.674,111.674,111.667,111.667
1970-01-01 00:00:00.000000004,2019-03-01T04:24:00.000000000Z,1,111.670,111.670,111.670,111.670
1970-01-01 00:00:00.000000005,2019-03-01T04:25:00.000000000Z,2,111.672,111.674,111.672,111.674
1970-01-01 00:00:00.000000006,2019-03-01T04:27:00.000000000Z,5,111.672,111.672,111.667,111.672
1970-01-01 00:00:00.000000007,2019-03-01T04:28:00.000000000Z,5,111.674,111.674,111.669,111.669
1970-01-01 00:00:00.000000008,2019-03-01T04:29:00.000000000Z,5,111.666,111.666,111.662,111.662
1970-01-01 00:00:00.000000009,2019-03-01T04:31:00.000000000Z,4,111.664,111.667,111.662,111.662
1970-01-01 00:00:00.000000010,2019-03-01T04:32:00.000000000Z,6,111.660,111.662,111.658,111.662
1970-01-01 00:00:00.000000011,2019-03-01T04:33:00.000000000Z,1,111.665,111.665,111.665,111.665
1970-01-01 00:00:00.000000012,2019-03-01T04:34:00.000000000Z,2,111.662,111.664,111.662,111.664
1970-01-01 00:00:00.000000013,2019-03-01T04:35:00.000000000Z,1,111.668,111.668,111.668,111.668
1970-01-01 00:00:00.000000014,2019-03-01T04:36:00.000000000Z,7,111.670,111.675,111.670,111.674
1970-01-01 00:00:00.000000015,2019-03-01T04:37:00.000000000Z,20,111.672,111.672,111.656,111.663
1970-01-01 00:00:00.000000016,2019-03-01T04:38:00.000000000Z,5,111.661,111.661,111.651,111.651
1970-01-01 00:00:00.000000017,2019-03-01T04:39:00.000000000Z,11,111.648,111.656,111.648,111.648
1970-01-01 00:00:00.000000018,2019-03-01T04:40:00.000000000Z,4,111.651,111.652,111.649,111.649
1970-01-01 00:00:00.000000019,2019-03-01T04:41:00.000000000Z,5,111.646,111.652,111.646,111.652
1970-01-01 00:00:00.000000020,2019-03-01T04:42:00.000000000Z,7,111.650,111.650,111.645,111.645
